y,x,street_count,highway,ref,geometry
-12.0083569,-77.0501365,3,N/A,N/A,POINT (-77.0501365 -12.0083569)
-12.0061703,-77.0505673,3,N/A,N/A,POINT (-77.0505673 -12.0061703)
-12.0062528,-77.0510319,4,N/A,N/A,POINT (-77.0510319 -12.0062528)
-12.0030001,-77.0520461,3,N/A,N/A,POINT (-77.0520461 -12.0030001)
-12.0035415,-77.0526031,3,N/A,N/A,POINT (-77.0526031 -12.0035415)
-12.0034809,-77.0496963,4,N/A,N/A,POINT (-77.0496963 -12.0034809)
-12.0031759,-77.0503748,3,N/A,N/A,POINT (-77.0503748 -12.0031759)
-12.0030694,-77.0508065,3,N/A,N/A,POINT (-77.0508065 -12.0030694)
-12.0030931,-77.0514901,3,N/A,N/A,POINT (-77.0514901 -12.0030931)
-12.0026936,-77.0531413,3,N/A,N/A,POINT (-77.0531413 -12.0026936)
-12.0038673,-77.0522519,3,N/A,N/A,POINT (-77.0522519 -12.0038673)
-12.0041919,-77.0519224,3,N/A,N/A,POINT (-77.0519224 -12.0041919)
-12.0045141,-77.0515953,3,N/A,N/A,POINT (-77.0515953 -12.0045141)
-12.0032704,-77.0539624,3,N/A,N/A,POINT (-77.0539624 -12.0032704)
-12.0031907,-77.0535231,3,N/A,N/A,POINT (-77.0535231 -12.0031907)
-12.003107,-77.0530611,3,N/A,N/A,POINT (-77.0530611 -12.003107)
-12.0020021,-77.0542078,3,N/A,N/A,POINT (-77.0542078 -12.0020021)
-12.0019981,-77.053739,3,N/A,N/A,POINT (-77.053739 -12.0019981)
-12.0015802,-77.0526067,4,N/A,N/A,POINT (-77.0526067 -12.0015802)
-11.9931402,-77.0590507,4,N/A,N/A,POINT (-77.0590507 -11.9931402)
-11.9928844,-77.0573845,3,N/A,N/A,POINT (-77.0573845 -11.9928844)
-11.9931286,-77.06341,3,N/A,N/A,POINT (-77.06341 -11.9931286)
-11.9918721,-77.0629451,3,N/A,N/A,POINT (-77.0629451 -11.9918721)
-11.9914669,-77.0601349,3,N/A,N/A,POINT (-77.0601349 -11.9914669)
-11.992417,-77.0628546,3,N/A,N/A,POINT (-77.0628546 -11.992417)
-11.9920128,-77.0600506,3,N/A,N/A,POINT (-77.0600506 -11.9920128)
-11.9930269,-77.0627533,3,N/A,N/A,POINT (-77.0627533 -11.9930269)
-11.9925945,-77.0599608,3,N/A,N/A,POINT (-77.0599608 -11.9925945)
-11.9924975,-77.0593376,4,N/A,N/A,POINT (-77.0593376 -11.9924975)
-11.9913098,-77.0630385,3,N/A,N/A,POINT (-77.0630385 -11.9913098)
-11.9908862,-77.0602247,3,N/A,N/A,POINT (-77.0602247 -11.9908862)
-12.0026981,-77.059664,3,N/A,N/A,POINT (-77.059664 -12.0026981)
-12.0039283,-77.0594799,3,N/A,N/A,POINT (-77.0594799 -12.0039283)
-12.0039894,-77.0599032,3,N/A,N/A,POINT (-77.0599032 -12.0039894)
-12.0016277,-77.056427,4,N/A,N/A,POINT (-77.056427 -12.0016277)
-12.0014008,-77.0550869,3,N/A,N/A,POINT (-77.0550869 -12.0014008)
-11.9894626,-77.0597855,4,N/A,N/A,POINT (-77.0597855 -11.9894626)
-11.9894413,-77.0596508,4,N/A,N/A,POINT (-77.0596508 -11.9894413)
-11.9907892,-77.0595797,4,N/A,N/A,POINT (-77.0595797 -11.9907892)
-12.0024941,-77.0582933,3,N/A,N/A,POINT (-77.0582933 -12.0024941)
-12.0025599,-77.0587355,3,N/A,N/A,POINT (-77.0587355 -12.0025599)
-12.0037898,-77.0585529,3,N/A,N/A,POINT (-77.0585529 -12.0037898)
-12.0026266,-77.059184,3,N/A,N/A,POINT (-77.059184 -12.0026266)
-12.0038656,-77.0589979,4,N/A,N/A,POINT (-77.0589979 -12.0038656)
-12.0048087,-77.058712,3,N/A,N/A,POINT (-77.058712 -12.0048087)
-12.0049494,-77.0591352,3,N/A,N/A,POINT (-77.0591352 -12.0049494)
-12.0029846,-77.0615892,3,N/A,N/A,POINT (-77.0615892 -12.0029846)
-12.0028193,-77.0604785,3,N/A,N/A,POINT (-77.0604785 -12.0028193)
-12.0019363,-77.0578501,4,N/A,N/A,POINT (-77.0578501 -12.0019363)
-12.0040486,-77.0603173,3,N/A,N/A,POINT (-77.0603173 -12.0040486)
-11.990767,-77.0594325,3,N/A,N/A,POINT (-77.0594325 -11.990767)
-12.0011489,-77.0565002,3,N/A,N/A,POINT (-77.0565002 -12.0011489)
-12.00093,-77.055158,3,N/A,N/A,POINT (-77.055158 -12.00093)
-12.0007163,-77.0567689,3,N/A,N/A,POINT (-77.0567689 -12.0007163)
-12.0004577,-77.0552326,3,N/A,N/A,POINT (-77.0552326 -12.0004577)
-12.0002441,-77.0581006,4,N/A,N/A,POINT (-77.0581006 -12.0002441)
-11.9985227,-77.0554888,3,N/A,N/A,POINT (-77.0554888 -11.9985227)
-11.9989257,-77.0581262,4,N/A,N/A,POINT (-77.0581262 -11.9989257)
-12.003237,-77.05755,4,N/A,N/A,POINT (-77.05755 -12.003237)
-11.9978382,-77.0626707,4,N/A,N/A,POINT (-77.0626707 -11.9978382)
-11.9972313,-77.0585761,4,N/A,N/A,POINT (-77.0585761 -11.9972313)
-11.9952671,-77.0586995,4,N/A,N/A,POINT (-77.0586995 -11.9952671)
-11.9949529,-77.0576802,3,N/A,N/A,POINT (-77.0576802 -11.9949529)
-11.9945939,-77.0565712,4,N/A,N/A,POINT (-77.0565712 -11.9945939)
-11.9953183,-77.0588753,4,N/A,N/A,POINT (-77.0588753 -11.9953183)
-11.9966018,-77.0628733,3,N/A,N/A,POINT (-77.0628733 -11.9966018)
-11.9987657,-77.0570843,4,N/A,N/A,POINT (-77.0570843 -11.9987657)
-11.9997693,-77.0569139,3,N/A,N/A,POINT (-77.0569139 -11.9997693)
